Label,Type,Tags,Description,Areas de trabajo,Campos de la nano,Direccion,Provincia,Ciudad,Empresas Incubadas,Image,Linkedin,Productos y/o servicios nano,Region,Servicios,Telefono,email,location,url,web
Unibaio,Empresa,,"En UNIBAIO desarrollamos un ingrediente biodegradable que optimiza la entrega de agroquímicos para disminuir sus dosis de aplicación y niveles de toxicidad.

Las empresas de plaguicidas pueden utilizar las partículas de UNIBAIO para modificar sus formulaciones para:

- ser aprobadas por las normas ambientales más estrictas sin reemplazar los productos químicos que utilizan los agricultores,

- reducir la operación manual, reduciendo los costos de aplicación de los agricultores,

- mejorar el rendimiento y la competitividad.

Nuestras partículas pueden ser utilizadas en cualquier tipo de plaguicidas y fertilizantes, desde los tradicionales químicos hasta los bio/orgánicos. Nuestros nanoportadores están hechos de compuestos naturales como residuos de la pesca de langostinos y arcilla, utilizando un modelo circular.",,,Av. Colón 10850|Mar del Plata|Provincia de Buenos Aires,Buenos Aires,Mar del Plata,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/663353/0256fd23-82d1-462c-8213-5e469f7e3b5d.png,https://www.linkedin.com/company/unibaio/,"**Biopolímeros funcionales** para la formulación de agroquímicios y bioinsumos: desarrollamos nano-vehículos basados en compuestos naturales y economía circular para mejorar el rendimiento de los agroinsumos.

Nuestras partículas encapsulan los principios activos de los pesticidas para liberarlos progresivamente en el tiempo. Esto permite aumentar su efectividad y reducir sus dosis de aplicación, por lo tanto, disminuye los niveles de toxicidad en el suelo y los alimentos que consumimos.",,,+56 965 380 007,hello@unibio.us,"-37.96090849151554, -57.634578684590075",https://www.unibaio.com/es,
Grupo Nanotech S.R.L.,Empresa,,"NANOTECH S.R.L es una empresa dedicada a la limpieza industrial, higiene urbana y medio ambiente, que combina limpieza tradicional con tecnología de vanguardia.

Con el uso de maquinaria de ultima generación y personal altamente especializado aseguramos una limpieza ágil y rápida sin pasar por alto ningún detalle, con una correcta desinfección de cada uno de los ambientes laborales.

NANOTECH S.R.L logra un diferencial en sus instalaciones y una nueva imagen a su empresa, buscando la optimizacion de los recursos humanos, económicos y de tiempo.",,,Caamaño 1060|Villa Rosa|provincia de Buenos Aires,Buenos Aires,Villa Rosa,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/a54d6ad7-1259-442e-bb4b-a1596e313263.jpeg,https://www.linkedin.com/company/grupo-nanotech/,,,,,,"-34.433549051714955, -58.83062331192616",,
ZURE-Embryotech S.A.S.,Empresa,,"Zure Embryotech es un empresa dedicada a desarrollar tecnologías innovadoras para la embriología clínica.

Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos principalmente electrónicos y/o eléctricos (incluye equipos de laboratorio, esterilizadores, paneles para observación de radiografías, tornos, etc.)",,,Ruta C 45 Km. 1|Malagueño|provincia de Córdoba,Córdoba,Malagueño,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/5c8a83c0-611c-4611-95a3-bf40eeefd24c.jpeg,,,,,,,"-31.46085283570392, -64.42487389616134",,
Ecosol,Empresa,Empresas|Empresa,"En el año 2003, Ecosol da inicio a un nuevo sistema de calefacción, saludable y respetuosa del medio ambiente innovadora en Argentina y en el Mundo.
En el año 2012 nos impulsamos hacia el futuro al implementar en nuestros calefactores la tecnología IR + NANO PLATA + TURMALINA.

Tecnología que permite calefaccionar de manera más rápida y eficiente, orientando a calentar directamente los cuerpos sin necesidad de calentar el aire como los viejos sistemas de calefacción. Los cuerpos reciben calor a través de energía eléctrica por efecto Joule y luego emiten un 85% de su calor por Radiación según la ley de Stefan-Boltzmann. Esto permite alcanzar un nivel de excelencia utilizando una cuarta parte del consumo eléctrico en comparación con otros calefactores.
Ecosol se reinventa y por medio de la investigación continua, incorpora nuevas tecnologías de vanguardia y totalmente innovadoras en calefacción.
Cada año logra mayor rendimiento y menor consumo, al incorporar Aluminosilicatos, Iones Negativo y minerales que p...","- Paneles calefactores
- Termotanques solares
- Toalleros calefactores",,"Moreno 3044, (C1209ABF), Ciudad Autónoma de Buenos Aires, Argentina.",CABA,CABA,,https://s3.amazonaws.com/cloud.kumu.io/accounts/263368/248108/058d9648-2844-4cdb-9a18-a5edb111e379.png,,,,,,info@ecosolargentina.com.ar,"-34.61323826196282, -58.408551421948374",www.ecosol.com.ar,
AADEE S.A.,Empresa,Empresas|Empresa,"AADEE SA cuenta con más de 40 años de prestigio y experiencia en el campo de la medicina convencional y especializada, como fabricantes, exportadores e importadores de equipamiento para medicina y alta complejidad, bioquímica, investigación, y protección radiológica.
Fue fundada con el ideal de estar a la vanguardia de la Industria Argentina, prestar nuevos y mejores servicios y quebrar día a día los paradigmas que provocan estancamiento, para lograr el acceso a nuevos grados de conocimiento.
AADEE SA es fabricante de equipos analizadores de gases en sangre y analizadores de electrolitos, instalados en hospitales y clínicas de todo el país y asimismo exportamos a diversos países a través de representantes autorizados.
En el área de medicina, alta complejidad, hematología y terapia respiratoria, así como para investigación, radioprotección e industria, ofrecemos una diversidad de equipos a través de empresas que representamos de forma exclusiva en Argentina, brindando para todas ellas el debido soporte técn...","- Fabricación &Exportación
Nos dedicamos a la fabricación y el desarrollo de equipos de ácido base, fundamentales en terapia intensiva. Contamos con certificaciones ISO9001 y 13485, y nuestros equipos tienen la certificación CE.
Nuestro analizador de pH y gases en sangre modelo µGASES permite, en una muestra de sangre arterial de 80 µl, determinar pH y las presiones parciales de oxígeno y dióxido de carbono.
Nuestro analizador µISE determina valores de Na, K, Cl, y Ca en muestras de sangre u orina.
El soporte técnico especializado es esencial en este tipo de equipos, por eso brindamos servicio preventivo y correctivo.
Contamos también con una división de investigación y desarrollo.

- Medicina (cirugía de alta complejidad, laboratorio clínico, luminoterapia, microbiología, terapia respiratoria, presión arterial, empresas representadas)

- Nuclear
Somos expertos proveedores de una amplia gama de equipamiento para protección radiológica, a través de nuestras representadas exclusivas Thermo Fisher Scientific...",,"Av. Triunvirato 4135 – 5º piso, (C1431FBD) Buenos Aires – Argentina",CABA,CABA,,https://s3.amazonaws.com/cloud.kumu.io/accounts/263368/248108/5a06417f-391d-4043-b3e6-81b4fd8a6ecc.png,,,,,(54-11) 4523-4848 (líneas rotativas),info@aadee.com.ar,"-34.57849233577807, -58.479275202951534",www.aadee.com.ar,
Eriochem S.A.,Empresa,Empresas|Empresa,"Eriochem S.A. es una empresa Argentina, ubicada en Colonia Avellaneda, Departamento Paraná, Entre Ríos, dedicada a la fabricación de medicamentos.
Es una compañía farmacéutica con tres pilares fundamentales: Integración Vertical, la Tecnología como herramienta competitiva y la Globalización de Mercado.

Nuestro objetivo es desarrollar y producir genéricos oncológicos de alta calidad y genéricos con tecnología de valor agregado o supergenéricos.
Parte de nuestra meta es también producir con procesos eficientes, que nos permitan tener precios competitivos.
De esta manera, más doctores y pacientes podrían tener la posibilidad de realizar la mejor elección de tratamiento para cualquier caso.","- Investigación & Desarrollo:

I&D, el alma vital de nuestra organización, consiste en un grupo eficiente de científicos investigadores y doctores que usan la innovación y creatividad para trabajar continuamente en nuevos productos y procesos.

- Propiedad Intelectual:

Las patentes de ERIOCHEM están aprobadas en los países más demandantes del mundo, y los procesos llevados a cabo por nuestro equipo son el testimonio suficiente de la alta competencia, flexibilidad y capacidad innovadora.

- Alianzas estratégicas:

Globalización del mercado. El posicionamiento geográfico estratégico nos permite el acceso a los mercados con mejor demanda y precios competitivos.

- Área Control de Calidad (CC):

CC utiliza el 25% del personal de la Compañía. Se siguen los métodos analíticos requeridos tanto por la Farmacopea de los Estados Unidos (USP) como la Farmacopea Europea (EP), y aplica estándares de calidad establecidos por ambas Farmacopeas. Posee moderno equipamiento operado por personal altamente calificado.
...",,"Ruta 12, km 452, (3107) Colonia Avellaneda, Paraná, Entre Ríos - Argentina",Entre Ríos,Paraná,,https://s3.amazonaws.com/cloud.kumu.io/accounts/263368/248108/305ffa74-c008-486a-8dbd-365edec5618f.png,,,,,+54 343 4979125,info@erio.com.ar,"-31.760982696708975, -60.38991725887965",www.eriochem.com.ar,
Adox,Empresa,Empresas,"ADOX es una compañía argentina eco-innovadora, con presencia internacional, caracterizada por la agilidad e innovación en soluciones. Desarrollamos e implementamos productos, servicios y procesos novedosos, pioneros en el mercado local y orientados a elevar la productividad, cuidando el medio ambiente y promoviendo el desarrollo personal.

Nuestra investigación y desarrollo están enfocadados a la innovación radical e incremental de aplicaciones tecnológicas que permitan mejorar la calidad de vida y del medio ambiente.","**SALUD**
Insumos para la prevención y control de infecciones intrahospitalarias. Insumos y accesorios para el lavado de manos en el sector hospitalario. Equipamientos para anestesia, bombas de infusión y respiradores de anestesia.

**AGROINDUSTRIA**
Desarrollos innovadores para la agroindustria, alimentadora para terneros, cámaras calorimétricas y automatización de plantas de fenotipado. Equipamientos pioneros en Argentina en medición y análisis para el agro enfocados en la ecología y el medio ambiente.

**SECTOR PÚBLICO**
Novedosos desarrollos tecnológicos de automatización para sistemas de alerta, y control ideales para solucionar problemas de seguridad en el ámbito del sector público.

**SECTOR PRIVADO**
Innovadores sistemas de accesibilidad, alerta, control y monitoreo y desarrollos de equipamientos tecnológicos para el control de acceso ideales para solucionar problemas de seguridad en el ámbito del sector privado.",,Cerrito 1225 - (B1714ARE) Ituzaingó - Buenos Aires - Argentina,Buenos Aires,Ituzaingó,,https://s3.amazonaws.com/cloud.kumu.io/accounts/261918/248108/8c5b4679-96db-4d99-a222-534d6ff7e5f6.png,,"**Hybridon AR**
Recubrimiento antimicrobiano post desinfección. Solución de base acrílica formulado con micropartículas nanoestructuradas adsorbidas con iones plata y cobre que actúan como antimicrobiano adhiriéndose a la superﬁcie en donde se las aplica, permitiéndo un efecto prolongado del producto en el tiempo.

**Limpiador de superficies LCS**
Líquido antimicrobiano apto para aplicar en todo tipo de superficies incluso en pantallas táctiles de equipos tecnológicos. Está formulado a base de alcohol isopropílico y nanopartículas de plata, entre otros componentes. Posee efecto de desinfección frente a bacterias Gram positivas y Gram negativas.

**Lubricante de material quirúrgico**
Es un lubricante que contiene nanopartículas de plata como conservante destinado para la lubricación de instrumental quirúrgico.

**Esponjas con nanopartículas**
Desarrollamos esponjas de melamina con partículas de sílice nanoestructuradas agregadas en una formulación gelificada, que ayudan a remover el biofilm de las superfic...",,,,info@adox.com.ar,"-34.63072339661854, -58.697274260619814",http://adox.com.ar/,
Bioinnovo S.A.,Empresa,,"Bioinnovo es una empresa biotecnológica dedicada a la investigación, diseño y desarrollo de anticuerpos IgY, Vacunas Recombinantes y prestación de servicios especializados orientados a la salud animal.

Los productos desarrollado por Bioinnovo están basados en dos plataformas: la tecnología IgY y la plataforma APCH1 patentada que surgió a partir de los trabajos de investigación del grupo fundador y de la empresa Algenex.

Adicionalmente, Bioinnovo presta servicios especializados en su granja experimental para la evaluación de productos destinados al sector avícola.",,,Dr N. Repetto y Los Reseros S/N|Hurlingham|provincia de Buenos Aires,Buenos Aires,Hurlingham,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/6513a0c9-58af-4fa5-bcca-5ce0f7d9ab27.png,,,,,,,"-34.61348294882597, -58.655838534215974",,
Innova Space,Empresa,,"Somos prooveedores de la plataforma que revolucionó la tecnología satelital, por tamaño, bajo costo de lanzamiento y prestaciones de servicios.

Somos una empresa dedicada al desarrollo de picosatélites y nanotecnología",,,Chaco 1670|Mar del Plata|provincia de Buenos Aires,Buenos Aires,Mar del Plata,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/6a6d3acf-2278-4e2a-ad95-f81b350e1810.jpg,,,,,,,"-37.99015862154388, -57.564695154834226",https://www.innova-space.com/es/,
Dharma BioScience S.A.,Empresa,,"Desarrollo, formulación y vehiculización de un cocktail de miRNAs para el tratamiento de la artrosis de rodilla.

La empresa fue fundada en 2022 y tiene como objetivos el desarrollo de un método de determinación de miRNA en liquido sinovial de pacientes con osteoartritis bajo tratamiento clínico y la evaluación de la relevancia de los miRNAs en la diferenciación de células madre hacia condrocitos.",,,Pasaje Tarrico 840|Rosario|provincia de Santa Fe,Santa Fe,Rosario,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/89b9324f-1df1-4fb7-80af-03072162e8d7.jpeg,,,,,,,"-32.94978262994208, -60.66334107843044",,
Kalium Technologies,Empresa,Empresa,"Elaboramos productos para **Biología Molecular** y **Biotecnología**, como **purificación** de **ADN/ARN** y **extracción** de **proteínas**. Hace cuatro años incorporamos nanotecnología para el desarrollo de nuevos productos y hoy contamos con kits validados para purificar ácidos nucleicos con partículas magnéticas, en forma manual y automática. Seguimos trabajando en sumar productos innovadores al mercado local a partir de los logros ya obtenidos.","**Biología Molecular**: provisión de reactivos para purificar ácidos nucleicos por métodos tradicionales (ADN fenol-cloroformo, ARN fenol ácido) y por partículas magnéticas (kit viral para Covid), reactivo para revelar reacciones quimio luminiscentes (tipo ECL) y micropartículas de vidrio para lisis celular.

**Biotecnología**: partículas magnéticas recubiertas con polímero para purificación de proteínas.",,Zeballos 1716|Bernal|Provincia de Buenos Aires,Buenos Aires,Bernal,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/663353/4a8bbf7c-f49e-450b-9c29-cf6be6cdd174.png,https://www.linkedin.com/in/kalium-technologies-854b24138/,"**Biocapture NA Viral kit** para extracción y purificación de ácido nucleico viral a partir de hisopados.|**Biocapture NA Bacteria kit** para extracción y purificación de ácidos nucleicos, a partir de células en cultivo o muestras líquidas.|**BioBeads**: nanopartículas magnéticas recubiertas con polímeros para diversas aplicaciones en biotecnología, principalmente unión de proteínas (amine / carboxy chemistry).",,"La empresa provee servicios de investigación y desarrollo de soluciones para biotecnología, utilizando tecnologías separativas basadas en partículas magnéticas.",011 - 4426 7786,technology@kaliumtech.com,Zeballos 1716 Bernal Provincia de Buenos Aires,http://www.kaliumtech.com,
Mirai 3D,Empresa,Ecosistema FAN|Empresas|Empresa|Incubadora,"MIRAI 3D es una empresa de ingeniería biomédica que desarrolla soluciones innovadoras para la salud basadas en la combinación de impresión 3D y materiales avanzados. Nos enfocamos en el desarrollo de simuladores de alto realismo para entrenamiento en cirugía mínimamente invasiva, endoscopia y cirugía plástica.","Planificación Quirúrgica Avanzada: Biomodelos para cirugías de alta complejidad.
Modelos anatómicos para planificación de cirugías oncológicas, pediátricas y cardiovasculares. Obtenga un modelo físico donde analizar y ensayar los procedimientos quirúrgicos previo a la cirugía.
¿Por qué utilizar impresión 3D en medicina?: Facilita el entendimiento y la interacción con el paciente; incrementa la tasa de éxito de las cirugías; reduce significativamente el tiempo quirúrgico; previene errores en la toma de decisiones; genera ahorros para la institución; mejora la precisión y reduce el sangrado; aumenta la seguridad de la cirugía.

Simulación y entrenamiento médico: Hands on + Virtual= Simulación HÍBRIDA Superior.
En Mirai 3D desarrollamos proyectos de simulación quirúrgica híbrida. Combinamos impresión 3D con materiales composites e hidrogeles para crear fantomas de simulación con las mismas propiedades mecánicas que los tejidos del ser humano. Luego, dotamos a estos modelos de un entorno virtual en realidad ...",,Bucarelli 2480|Ciudad de Buenos Aires,CABA,CABA,,https://s3.amazonaws.com/cloud.kumu.io/accounts/261918/248108/6d040137-700f-43d6-b8c7-e8adab1a86ad.jpg,,,,,,,"-34.575099577762956, -58.489353034215185",,
BPANALITYCAL S.A.,Empresa,,,,,Sta. Rita 2183|Las Heras|provincia de Mendoza,Mendoza,Las Heras,,,,,,,,,"-32.814741262327495, -68.80422991977062",,
Vivero Del Oeste Riojano S.A.P.E.M.,Empresa,,"Agrogenética Riojana SAPEM es una sociedad anónima con participación del Estado mayoritaria, la cual cuenta con años de experiencia proporcionando plantas de calidad y asesoramiento al sector agrí­cola de La Rioja.

Tras un largo camino recorrido de trabajo concreto en la región, la empresa se ha consolidado como uno de los viveros proveedores de material vegetal más reconocidos de la zona. Para ello la empresa cuenta con profesionales especializados y personal altamente capacitado, junto a la infraestructura y tecnología necesarias para el desarrollo de cada etapa evolutiva del cultivo.",,,Ruta de la Producción s/n|Anguinán|provincia de La Rioja,La Rioja,Anguinán,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/e8b35d15-188d-46d5-a283-599575cc9145.png,,,,,,,"-29.212967396954085, -67.44399770113272",,
Satellogic,Empresa,Empresa,"Satellogic es la primera compañía integrada verticalmente dedicada a la analítica geoespacial, impulsando resultados reales con información confiable a escala global.

Con una constelación de satélites de órbita baja, una plataforma automatizada y el equipo de data science en conjunto, la empresa ofrece soluciones integrales a un costo accesible, transformando imágenes en respuestas concretas para la toma de decisiones diaria.

El equipo de ingenieros en satélites, expertos en inteligencia artificial y especialistas en soluciones trabajan en conjunto con la misión de brindar una mejor imagen del planeta y de las múltiples fuerzas que lo reformulan cada día. Desde el espacio ponen los pies sobre la tierra para ayudar a empresas y gobiernos de distinta envergadura a enfrentar los desafíos más apremiantes, permitiéndoles ver por sí mismos cómo está cambiando nuestro mundo.

Satellogic es una empresa global con oficinas en 6 países (EE.UU., España, Argentina, Uruguay, Israel y China) con un equipo de +200 empl...","Soluciones personalizadas para cada industria:

● Forestación:

Gestionar tierras forestales, activos y asignación de capital.

Prevenir robos y cosechas ilegales.

Definir las existencias y los flujos de carbono para los informes gubernamentales.

Evaluar las variables de la masa forestal.

● Agricultura:

Gestionar tierras y activos agrícolas.

Prevenir robos y cosechas ilegales.

Definir las existencias y los flujos de carbono para los informes gubernamentales.

Monitorear la salud de los cultivos, plagas y malezas.

● Energía: Reducir los costos operativos y mejorar la eficiencia.

Automatizar la gestión de la integridad de los oleoductos.

Prevenir actividades ilícitas.

Cumplir con la normativa medioambiental.

Supervisar la infraestructura y los activos.

● Finanzas y seguros:

Evaluar el impacto y monitorear los desastres naturales.

Acceder a los principales indicadores socioeconómicos para la inteligencia competitiva.",,"Scalabrini Ortiz 3333 3er piso, Ciudad Autónoma de Buenos Aires, Argentina.",CABA,CABA,,https://s3.amazonaws.com/cloud.kumu.io/accounts/263368/248108/a7e29772-73d1-4f9f-a1ee-9d5f13b5aa4d.png,,"En 2013 ""Capitán Beto"", con sus escasos 2 kilos de peso y 20 centímetros de altura, se convirtió en el primer nanosatélite argentino en orbitar la Tierra. Fue un vehículo de prueba y abrió el paso para ""Manolito"".

(los satelites que lanzamos posteriormente, no entran en la categoría de ""Nano"", sino Microsatélites)",,,,info@satellogic.com,"Scalabrini Ortiz 3333 3er piso, Ciudad Autónoma de Buenos Aires, Argentina.",www.satellogic.com,
Smart Drugs,Empresa,,"Siendo investigadores del CONICET (Instituto IMBECU e IHEM CCT Mendoza) y docentes de la Facultad de Ciencias Médicas de la Universidad Nacional de Cuyo, y de la Universidad Católica de Cuyo Sede San Juan, detectamos una fuerte aplicación de la nanotecnología a nivel mundial, y la industria farmacéutica y cosmética no son la excepción.

En el sector farmacéutico, los nanofármacos mejoran la eficacia, llegan al sitio de acción, reducen la dosis y por ende los efectos adversos y tóxicos. En el mundo son desarrollados y comercializados principalmente por industrias farmacéuticas multinacionales las cuales lideran el mercado. En Argentina es un área muy poco explotada y desarrollada.

Mediante nanotecnología utilizamos liposomas u otras nanoestructuras para incorporar por ejemplo Vitamina D3 (colecalciferol) a cremas de uso dermo-cosmético, esto logra que el principio activo sea más estable y resistente, además de lograr la penetración en el lugar preciso, bajando la dosis y por consiguiente los efectos adver...","Farmacia y bioquímica, Cosmética",,Av. Ruiz Leal s/n - Parque Gral. San Martín|ciudad de Mendoza,Mendoza,Mendoza,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/663353/d385eae6-3478-4e8f-9bad-6a180ac9554d.png,,,CUYO,,0261 15 3139 999,wmanucha@mendoza-conicet.gob.ar,Av. Ruiz Leal s/n - Parque Gral. San Martín ciudad de Mendoza,,
San Miguel Global,Empresa,,"Somos los únicos procesadores de limón con una plataforma multi-origen que nos permite especializar nuestra oferta en función de lo que demanda cada mercado. Nuestro sistema de trazabilidad ofrece información precisa al cliente sobre el origen y proceso de cada producto, proporcionando un control total desde la semilla hasta el lineal. Capacidad para adaptar nuestra oferta. Mitigación de riesgos. Acceso a nuevos mercados.",,,Ruta 301 kilómetro 33|Famaillá|provincia de Tucumán,Tucumán,Famaillá,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/7ef226b2-c0b5-4434-aaca-2ae68af88d49.png,,,,,,,"-27.02485454511094, -65.38571454248842",,
Witmo Technologies,Empresa,,"En Witmo nos apasiona crear soluciones innovadoras que mejoren la vida cotidiana. Nos dedicamos a desarrollar productos y servicios sorprendentes.

Desde 2019 crecemos junto a nuestra incubadora, Luz Consulting, en la ciudad de La Plata. Nuestro proyecto de etiquetas para la cadena de frío fue premiado en el IAE en Naves 2008 y fue seleccionado por IncuBAte 2022 y por Acelera BA 2023, del Programa Invest BA de la Ciudad Autónoma de Buenos Aires.

Nuestro sueño se está haciendo realidad, gracias a este genial equipo interdisciplinario y a la ayuda de muchos profesionales del ecosistema emprendedor.

En la actualidad somos 4 profesionales orientados al diseño, y a varias ramas de la ingeniería, y más de veinte que nos asisten desde la incubadora.",,,Calle 48 989|La Plata|provincia de Buenos Aires,Buenos Aires,La Plata,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/62f065c2-03c7-4cb0-8928-f26f0583c8da.jpeg,,,,,,,"-34.92088387202341, -57.959245896618825",,
